 &plot nbnd=  31, nks=    61 /
            0.500000  0.500000  0.000000
  -11.331  -11.331  -10.551  -10.551  -10.549  -10.549  -10.381  -10.381  -10.309  -10.309
   -7.644   -7.644   -7.545   -7.544    4.065    4.065    5.704    5.704    6.553    6.553
    7.607    7.607    8.234    8.234    8.678    8.678   14.336   14.336   17.049   17.049
   20.634
            0.483333  0.483333  0.000000
  -11.332  -11.329  -10.552  -10.551  -10.549  -10.549  -10.381  -10.381  -10.309  -10.309
   -7.715   -7.643   -7.544   -7.472    4.046    4.067    5.703    5.721    6.549    6.555
    7.604    7.610    8.234    8.235    8.679    8.680   14.328   14.339   17.046   17.047
   20.627
            0.466667  0.466667  0.000000
  -11.333  -11.325  -10.552  -10.552  -10.549  -10.548  -10.381  -10.380  -10.310  -10.309
   -7.818   -7.642   -7.544   -7.366    3.990    4.073    5.700    5.770    6.539    6.562
    7.594    7.620    8.234    8.239    8.680    8.687   14.305   14.349   17.039   17.042
   20.606
            0.450000  0.450000  0.000000
  -11.336  -11.318  -10.553  -10.552  -10.549  -10.548  -10.382  -10.380  -10.310  -10.309
   -7.923   -7.641   -7.544   -7.256    3.904    4.083    5.696    5.845    6.523    6.573
    7.578    7.635    8.236    8.245    8.683    8.698   14.266   14.366   17.027   17.033
   20.574
            0.433333  0.433333  0.000000
  -11.340  -11.307  -10.554  -10.552  -10.549  -10.547  -10.383  -10.379  -10.311  -10.309
   -8.027   -7.638   -7.544   -7.147    3.796    4.097    5.691    5.939    6.500    6.589
    7.556    7.655    8.237    8.254    8.687    8.713   14.212   14.389   17.010   17.021
   20.532
            0.416667  0.416667  0.000000
  -11.345  -11.294  -10.555  -10.552  -10.549  -10.546  -10.384  -10.378  -10.312  -10.309
   -8.128   -7.635   -7.543   -7.037    3.672    4.115    5.684    6.046    6.472    6.609
    7.527    7.680    8.239    8.264    8.692    8.732   14.144   14.418   16.987   17.004
   20.486
            0.400000  0.400000  0.000000
  -11.351  -11.279  -10.557  -10.552  -10.549  -10.545  -10.386  -10.377  -10.313  -10.309
   -8.227   -7.632   -7.543   -6.930    3.537    4.138    5.676    6.161    6.439    6.633
    7.494    7.709    8.241    8.276    8.698    8.755   14.063   14.452   16.960   16.983
   20.437
            0.383333  0.383333  0.000000
  -11.358  -11.261  -10.559  -10.553  -10.549  -10.544  -10.388  -10.376  -10.314  -10.309
   -8.322   -7.628   -7.542   -6.824    3.396    4.164    5.666    6.282    6.402    6.661
    7.456    7.741    8.244    8.288    8.704    8.781   13.968   14.492   16.926   16.958
   20.389
            0.366667  0.366667  0.000000
  -11.367  -11.240  -10.560  -10.553  -10.548  -10.543  -10.390  -10.375  -10.315  -10.310
   -8.414   -7.623   -7.542   -6.722    3.251    4.196    5.656    6.361    6.405    6.693
    7.413    7.775    8.247    8.301    8.711    8.811   13.860   14.537   16.888   16.928
   20.345
            0.350000  0.350000  0.000000
  -11.376  -11.218  -10.562  -10.553  -10.548  -10.542  -10.392  -10.374  -10.316  -10.310
   -8.502   -7.618   -7.541   -6.622    3.106    4.232    5.646    6.317    6.530    6.728
    7.367    7.809    8.250    8.314    8.718    8.844   13.741   14.585   16.845   16.892
   20.307
            0.333333  0.333333  0.000000
  -11.386  -11.193  -10.564  -10.553  -10.548  -10.541  -10.394  -10.372  -10.317  -10.310
   -8.586   -7.612   -7.540   -6.527    2.962    4.273    5.635    6.271    6.655    6.767
    7.317    7.842    8.253    8.327    8.726    8.880   13.611   14.637   16.797   16.852
   20.275
            0.316667  0.316667  0.000000
  -11.397  -11.167  -10.566  -10.553  -10.548  -10.540  -10.396  -10.370  -10.318  -10.310
   -8.666   -7.607   -7.539   -6.436    2.820    4.319    5.623    6.223    6.781    6.808
    7.265    7.873    8.257    8.339    8.734    8.918   13.472   14.691   16.745   16.806
   20.252
            0.300000  0.300000  0.000000
  -11.409  -11.140  -10.568  -10.553  -10.548  -10.539  -10.399  -10.369  -10.319  -10.310
   -8.742   -7.601   -7.538   -6.350    2.683    4.370    5.612    6.174    6.853    6.907
    7.210    7.902    8.261    8.349    8.742    8.959   13.323   14.748   16.689   16.756
   20.237
            0.283333  0.283333  0.000000
  -11.422  -11.112  -10.570  -10.553  -10.548  -10.539  -10.402  -10.367  -10.320  -10.310
   -8.813   -7.594   -7.537   -6.269    2.550    4.425    5.601    6.124    6.900    7.032
    7.154    7.927    8.265    8.359    8.750    9.001   13.167   14.807   16.631   16.701
   20.231
            0.266667  0.266667  0.000000
  -11.435  -11.083  -10.572  -10.552  -10.548  -10.538  -10.404  -10.365  -10.320  -10.310
   -8.879   -7.588   -7.536   -6.194    2.423    4.486    5.590    6.075    6.949    7.096
    7.158    7.947    8.269    8.367    8.758    9.045   13.004   14.867   16.570   16.642
   20.232
            0.250000  0.250000  0.000000
  -11.448  -11.054  -10.573  -10.551  -10.548  -10.538  -10.407  -10.363  -10.320  -10.310
   -8.941   -7.581   -7.534   -6.125    2.302    4.551    5.579    6.026    6.999    7.039
    7.284    7.961    8.273    8.373    8.766    9.090   12.834   14.927   16.509   16.580
   20.239
            0.233333  0.233333  0.000000
  -11.462  -11.025  -10.574  -10.550  -10.547  -10.538  -10.410  -10.361  -10.320  -10.310
   -8.998   -7.575   -7.533   -6.062    2.189    4.621    5.570    5.978    6.981    7.051
    7.410    7.969    8.278    8.377    8.774    9.136   12.661   14.988   16.447   16.515
   20.250
            0.216667  0.216667  0.000000
  -11.476  -10.997  -10.575  -10.548  -10.547  -10.538  -10.412  -10.360  -10.320  -10.310
